video_id,title,filename,pub_date,assemblyai_transcript_id
ffyqt7z6dq4,"Don't Get it Right, Just Get it Happily On the Porch with David B 2 03 30 24",2024-03-30-don-t-get-it-right--just-get-it-happily-on-the-porch-with-david-b-2-03-30-24.md,2024-03-30,fb207689-0fca-432d-9c89-0ae4c637e442
fNuPr9sK-og,How to Enjoy Meditation Retreats The Sangha UK 205 03 30 24,2024-03-30-how-to-enjoy-meditation-retreats-the-sangha-uk-205-03-30-24.md,2024-03-30,09cc7e75-2af5-487d-84b9-23953e1abc61
scG1wxoawGI,Anxiety in the Body A Anonymous 6 03 31 24,2024-03-31-anxiety-in-the-body-a-anonymous-6-03-31-24.md,2024-03-31,1c53fc42-f3e8-4724-9f3f-092531174420
9MNYqOAfERc,Change Your Old Habits Ivan 8 03 31 24,2024-03-31-change-your-old-habits-ivan-8-03-31-24.md,2024-03-31,df25a0bb-b185-45eb-875d-563d838424b8
y4WIeSF_SDg,"If You're Hot, Take a Bath Thomas 2 03 31 24",2024-03-31-if-you-re-hot--take-a-bath-thomas-2-03-31-24.md,2024-03-31,51d91eb1-712c-4434-a44d-8fbe467afd93
rjvmcsorTzk,Enjoy the Moment Without Grasping Dhamma Dasa & DJ The Sangha UK 206 04 03 24,2024-04-03-enjoy-the-moment-without-grasping-dhamma-dasa---dj-the-sangha-uk-206-04-03-24.md,2024-04-03,c0002a29-2761-42af-8295-5d7f0f652ee0
_Qel-hAc1HU,The Way People Think & Believe The Sangha US 110 04 05 24,2024-04-05-the-way-people-think---believe-the-sangha-us-110-04-05-24.md,2024-04-05,e7646f37-5f65-41b9-9239-c596a090aff8
74HpXZUtEPo,Progress and Problems - The Sangha UK # 208,2024-04-07-Progress-&-Problems-The-Sangha-UK-208-04-07-24.md,2024-04-07,
A5GFsbohsXo,Drop Both Sides of the Fight Paulius 1 04 07 24,2024-04-07-drop-both-sides-of-the-fight-paulius-1-04-07-24.md,2024-04-07,e4b18030-6144-42a0-9c9a-eb5b13e06a73
OcyYTEbD55E,Get In Touch With The Body A Anonymous 7 04 07 24,2024-04-07-get-in-touch-with-the-body-a-anonymous-7-04-07-24.md,2024-04-07,c09764cb-6325-4f48-9097-4190c89086a7
